Bundesland;Anzahl;GKZ;Timestamp
Wien;747;9;2020-08-13T03:00:00
Vorarlberg;25;8;2020-08-13T03:00:00
Tirol;70;7;2020-08-13T03:00:00
Steiermark;90;6;2020-08-13T03:00:00
Salzburg;72;5;2020-08-13T03:00:00
Oberösterreich;216;4;2020-08-13T03:00:00
Niederösterreich;167;3;2020-08-13T03:00:00
Kärnten;38;2;2020-08-13T03:00:00
Burgenland;22;1;2020-08-13T03:00:00
