Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;6490;5589,33461942574;305;2021-01-07T12:02:00
Baden;4684;3203,76462863279;306;2021-01-07T12:02:00
Bludenz;2910;4567,28505508993;801;2021-01-07T12:02:00
Braunau am Inn;4494;4304,2678721937;404;2021-01-07T12:02:00
Bregenz;6348;4723,81179167008;802;2021-01-07T12:02:00
Bruck an der Leitha;2932;2874,22801686109;307;2021-01-07T12:02:00
Bruck-Mürzzuschlag;3703;3741,00864786228;621;2021-01-07T12:02:00
Deutschlandsberg;1977;3250,52202364315;603;2021-01-07T12:02:00
Dornbirn;5200;5840,00628923754;803;2021-01-07T12:02:00
Eferding;2036;6140,66835565207;405;2021-01-07T12:02:00
Eisenstadt(Stadt);514;3511,64856186377;101;2021-01-07T12:02:00
Eisenstadt-Umgebung;1305;3040,04472709484;103;2021-01-07T12:02:00
Feldkirch;5468;5102,69786018907;804;2021-01-07T12:02:00
Feldkirchen;1342;4482,74710224805;210;2021-01-07T12:02:00
Freistadt;3644;5469,74677654193;406;2021-01-07T12:02:00
Gänserndorf;2491;2402,4458461123;308;2021-01-07T12:02:00
Gmünd;1549;4212,32969842004;309;2021-01-07T12:02:00
Gmunden;4784;4707,22515767827;407;2021-01-07T12:02:00
Graz(Stadt);9526;3298,40792781313;601;2021-01-07T12:02:00
Graz-Umgebung;4865;3153,76636846882;606;2021-01-07T12:02:00
Grieskirchen;3832;5920,79850434944;408;2021-01-07T12:02:00
Güssing;990;3837,65554134202;104;2021-01-07T12:02:00
Hallein;4147;6868,85082982741;502;2021-01-07T12:02:00
Hartberg-Fürstenfeld;3766;4155,72377568361;622;2021-01-07T12:02:00
Hermagor;941;5163,52063213345;203;2021-01-07T12:02:00
Hollabrunn;1192;2343,78072279681;310;2021-01-07T12:02:00
Horn;611;1965,2621421679;311;2021-01-07T12:02:00
Imst;3067;5106,90022645531;702;2021-01-07T12:02:00
Innsbruck-Land;9303;5187,99005119397;703;2021-01-07T12:02:00
Innsbruck-Stadt;6524;4938,30898493679;701;2021-01-07T12:02:00
Jennersdorf;634;3714,98886675261;105;2021-01-07T12:02:00
