Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;2513;39;1;2020-11-13T09:02:00
Kärnten;3319;53;2;2020-11-13T09:02:00
Niederösterreich;16242;188;3;2020-11-13T09:02:00
Oberösterreich;21047;217;4;2020-11-13T09:02:00
Salzburg;6659;64;5;2020-11-13T09:02:00
Steiermark;7724;287;6;2020-11-13T09:02:00
Tirol;14859;149;7;2020-11-13T09:02:00
Vorarlberg;6085;60;8;2020-11-13T09:02:00
Wien;29427;433;9;2020-11-13T09:02:00
