Altersgruppe;Anzahl;Timestamp
<5;612;2020-09-23T12:00:00
5-14;2165;2020-09-23T12:00:00
15-24;7540;2020-09-23T12:00:00
25-34;7387;2020-09-23T12:00:00
35-44;5792;2020-09-23T12:00:00
45-54;6605;2020-09-23T12:00:00
55-64;4777;2020-09-23T12:00:00
65-74;2287;2020-09-23T12:00:00
75-84;1889;2020-09-23T12:00:00
>84;1173;2020-09-23T12:00:00
