Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;4757;61;1;2020-11-23T12:02:00
Kärnten;7859;96;2;2020-11-23T12:02:00
Niederösterreich;26161;283;3;2020-11-23T12:02:00
Oberösterreich;39057;369;4;2020-11-23T12:02:00
Salzburg;11342;126;5;2020-11-23T12:02:00
Steiermark;13730;395;6;2020-11-23T12:02:00
Tirol;23418;232;7;2020-11-23T12:02:00
Vorarlberg;10373;90;8;2020-11-23T12:02:00
Wien;38830;536;9;2020-11-23T12:02:00
