Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;12404;4.21;15014;5.10;294436;1
Kärnten;31397;5.59;40913;7.29;561293;2
Niederösterreich;79292;4.71;87188;5.18;1684287;3
Oberösterreich;84386;5.66;107430;7.21;1490279;4
Salzburg;27549;4.93;29779;5.33;558410;5
Steiermark;69451;5.57;79651;6.39;1246395;6
Tirol;38638;5.10;45414;5.99;757634;7
Vorarlberg;22445;5.65;27703;6.98;397139;8
Wien;101189;5.29;114645;6.00;1911191;9
Österreich;466751;5.24;547737;6.15;8901064;10
Stand;2021-02-17 18:00;2021-02-17 18:00;2021-02-17 18:00;2021-02-17 18:00;2020-01-01 00:00;
