Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;911;11;25
Rust(Stadt);102;1980;72;0;0
Eisenstadt-Umgebung;103;43236;2225;23;47
Güssing;104;25699;1752;50;42
Jennersdorf;105;17097;1239;23;26
Mattersburg;106;40042;2142;31;36
Neusiedl am See;107;59990;3093;38;71
Oberpullendorf;108;37384;2164;40;35
Oberwart;109;54192;3496;82;104
Klagenfurt Stadt;201;101300;5852;153;178
Villach Stadt;202;62882;3457;64;124
Hermagor;203;18054;1848;28;14
Klagenfurt Land;204;60014;3836;64;119
Sankt Veit an der Glan;205;54186;3677;97;117
Spittal an der Drau;206;75868;5164;114;203
Villach Land;207;64618;4130;75;125
Völkermarkt;208;41862;3424;61;111
Wolfsberg;209;52607;3352;71;122
Feldkirchen;210;29902;2186;49;73
Krems an der Donau(Stadt);301;25036;1271;28;31
Sankt Pölten(Stadt);302;55514;3447;53;99
Waidhofen an der Ybbs(Stadt);303;11222;837;14;20
Wiener Neustadt(Stadt);304;45823;3711;81;78
Amstetten;305;116520;9319;126;268
Baden;306;146751;9331;117;241
Bruck an der Leitha;307;103735;5634;79;219
Gänserndorf;308;104782;5360;62;180
Gmünd;309;36553;2575;41;88
Hollabrunn;310;51033;2410;50;72
Horn;311;30936;1368;26;53
Korneuburg;312;91254;4073;49;80
Krems(Land);313;56487;3051;38;73
Lilienfeld;314;25655;1483;37;38
Melk;315;78191;5351;95;186
Mistelbach;316;75625;3525;34;90
Mödling;317;119115;6052;108;162
Neunkirchen;318;86343;5673;95;124
Sankt Pölten(Land);319;131729;7177;129;203
Scheibbs;320;41414;3546;35;119
Tulln;321;104593;5070;81;123
Waidhofen an der Thaya;322;25682;1632;14;33
Wiener Neustadt(Land);323;78307;5007;88;140
Zwettl;325;41987;3163;33;130
Linz(Stadt);401;206595;12250;213;426
Steyr(Stadt);402;38056;2189;18;74
Wels(Stadt);403;62470;4989;68;182
Braunau am Inn;404;105553;8272;99;271
Eferding;405;33178;2642;32;49
Freistadt;406;66861;5119;91;119
Gmunden;407;101859;7364;104;169
Grieskirchen;408;64875;4882;68;95
Kirchdorf an der Krems;409;57071;3910;80;55
Linz-Land;410;151371;9245;86;297
Perg;411;68968;5455;69;141
Ried im Innkreis;412;61690;5468;95;185
Rohrbach;413;56545;4949;96;59
Schärding;414;57391;4995;67;147
Steyr-Land;415;60717;3972;67;104
Urfahr-Umgebung;416;86005;5802;71;114
Vöcklabruck;417;137297;10454;149;378
Wels-Land;418;73777;5097;58;160
Salzburg(Stadt);501;155021;10883;132;263
Hallein;502;60824;6070;61;116
Salzburg-Umgebung;503;153492;11678;113;290
Sankt Johann im Pongau;504;81194;9105;111;136
Tamsweg;505;20251;2364;40;38
Zell am See;506;87628;6887;103;204
Graz(Stadt);601;291072;14349;280;522
Deutschlandsberg;603;60867;3528;96;139
Graz-Umgebung;606;156070;7811;236;237
Leibnitz;610;84756;5346;101;146
Leoben;611;59700;3133;107;79
Liezen;612;79652;5058;111;115
Murau;614;27543;1732;25;56
Voitsberg;616;51044;2984;101;92
Weiz;617;90654;5367;141;153
Murtal;620;71698;4349;160;122
Bruck-Mürzzuschlag;621;98697;5662;240;86
Hartberg-Fürstenfeld;622;90606;6653;174;176
Südoststeiermark;623;84036;5476;165;135
Innsbruck-Stadt;701;131961;8671;92;304
Imst;702;60474;4465;36;117
Innsbruck-Land;703;180453;12403;136;374
Kitzbühel;704;64168;4209;41;82
Kufstein;705;110287;8765;133;289
Landeck;706;44386;3420;46;53
Lienz;707;48738;4850;43;193
Reutte;708;32838;1741;5;104
Schwaz;709;84329;8862;130;66
Bludenz;801;64107;3823;45;49
Bregenz;802;134987;8322;98;259
Dornbirn;803;89912;6753;68;133
Feldkirch;804;108133;7309;74;196
Wien;900;1911191;127092;2088;4743
