Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;386;11;1;2020-08-08T09:00:00
Kärnten;443;13;2;2020-08-08T09:00:00
Niederösterreich;3142;114;3;2020-08-08T09:00:00
Oberösterreich;3497;61;4;2020-08-08T09:00:00
Salzburg;1299;38;5;2020-08-08T09:00:00
Steiermark;1886;142;6;2020-08-08T09:00:00
Tirol;3558;101;7;2020-08-08T09:00:00
Vorarlberg;930;19;8;2020-08-08T09:00:00
Wien;4549;210;9;2020-08-08T09:00:00
