Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;329;11;1;2020-06-13T14:00:00
Kärnten;401;13;2;2020-06-13T14:00:00
Niederösterreich;2750;99;3;2020-06-13T14:00:00
Oberösterreich;2232;58;4;2020-06-13T14:00:00
Salzburg;1201;37;5;2020-06-13T14:00:00
Steiermark;1690;137;6;2020-06-13T14:00:00
Tirol;3437;102;7;2020-06-13T14:00:00
Vorarlberg;881;18;8;2020-06-13T14:00:00
Wien;3091;175;9;2020-06-13T14:00:00
