Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;4901;1.66;6132;2.08;294436;1
Kärnten;11310;2.01;13812;2.46;561293;2
Niederösterreich;24996;1.48;31810;1.89;1684287;3
Oberösterreich;26837;1.80;37640;2.53;1490279;4
Salzburg;10355;1.85;14154;2.53;558410;5
Steiermark;26013;2.09;33030;2.65;1246395;6
Tirol;13878;1.83;17112;2.26;757634;7
Vorarlberg;10285;2.59;10810;2.72;397139;8
Wien;41569;2.18;51547;2.70;1911191;9
Österreich;170144;1.91;216047;2.43;8901064;10
Stand;2021-01-24 18:00;2021-01-24 18:00;2021-01-24 18:00;2021-01-24 18:00;2020-01-01 00:00;
