Bundesland;Anzahl;GKZ;Timestamp
Wien;3605;9;2020-09-16T23:00:00
Vorarlberg;308;8;2020-09-16T23:00:00
Tirol;704;7;2020-09-16T23:00:00
Steiermark;372;6;2020-09-16T23:00:00
Salzburg;138;5;2020-09-16T23:00:00
Oberösterreich;565;4;2020-09-16T23:00:00
Niederösterreich;812;3;2020-09-16T23:00:00
Kärnten;64;2;2020-09-16T23:00:00
Burgenland;92;1;2020-09-16T23:00:00
