time;Kapazität Normalbetten in %;Timestamp
01.04.2020;95;2020-05-16T13:52:41
02.04.2020;95;2020-05-16T13:52:41
03.04.2020;95;2020-05-16T13:52:41
04.04.2020;95;2020-05-16T13:52:41
05.04.2020;96;2020-05-16T13:52:41
06.04.2020;95;2020-05-16T13:52:41
07.04.2020;96;2020-05-16T13:52:41
08.04.2020;96;2020-05-16T13:52:41
09.04.2020;96;2020-05-16T13:52:41
10.04.2020;96;2020-05-16T13:52:41
11.04.2020;96;2020-05-16T13:52:41
12.04.2020;96;2020-05-16T13:52:41
13.04.2020;96;2020-05-16T13:52:41
14.04.2020;96;2020-05-16T13:52:41
15.04.2020;96;2020-05-16T13:52:41
16.04.2020;96;2020-05-16T13:52:41
17.04.2020;96;2020-05-16T13:52:41
18.04.2020;97;2020-05-16T13:52:41
19.04.2020;97;2020-05-16T13:52:41
20.04.2020;97;2020-05-16T13:52:41
21.04.2020;97;2020-05-16T13:52:41
22.04.2020;97;2020-05-16T13:52:41
23.04.2020;97;2020-05-16T13:52:41
24.04.2020;97;2020-05-16T13:52:41
25.04.2020;97;2020-05-16T13:52:41
26.04.2020;97;2020-05-16T13:52:41
27.04.2020;97;2020-05-16T13:52:41
28.04.2020;97;2020-05-16T13:52:41
29.04.2020;98;2020-05-16T13:52:41
30.04.2020;98;2020-05-16T13:52:41
01.05.2020;98;2020-05-16T13:52:41
02.05.2020;98;2020-05-16T13:52:41
03.05.2020;98;2020-05-16T13:52:41
04.05.2020;98;2020-05-16T13:52:41
05.05.2020;98;2020-05-16T13:52:41
06.05.2020;98;2020-05-16T13:52:41
07.05.2020;98;2020-05-16T13:52:41
08.05.2020;98;2020-05-16T13:52:41
09.05.2020;98;2020-05-16T13:52:41
10.05.2020;99;2020-05-16T13:52:41
11.05.2020;99;2020-05-16T13:52:41
12.05.2020;99;2020-05-16T13:52:41
13.05.2020;99;2020-05-16T13:52:41
14.05.2020;99;2020-05-16T13:52:41
15.05.2020;99;2020-05-16T13:52:41
16.05.2020;99;2020-05-16T13:52:41
