Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;10212;3.47;12374;4.2;294436;1
Kärnten;24245;4.32;29967;5.34;561293;2
Niederösterreich;59752;3.55;71138;4.22;1684287;3
Oberösterreich;54928;3.69;83470;5.6;1490279;4
Salzburg;21973;3.93;23779;4.26;558410;5
Steiermark;56629;4.54;71189;5.71;1246395;6
Tirol;32680;4.31;35366;4.67;757634;7
Vorarlberg;19409;4.89;22631;5.7;397139;8
Wien;80899;4.23;102891;5.38;1911191;9
Österreich;360727;4.05;452805;5.09;8901064;10
Stand;2021-02-11 18:00;2021-02-11 18:00;2021-02-11 18:00;2021-02-11 18:00;2020-01-01 00:00;
