Altersgruppe;Anzahl_demografisch;Timestamp
<5;0;2021-01-06T11:42:50
5-14;0;2021-01-06T11:42:50
15-24;0;2021-01-06T11:42:50
25-34;0;2021-01-06T11:42:50
35-44;1;2021-01-06T11:42:50
45-54;5;2021-01-06T11:42:50
55-64;22;2021-01-06T11:42:50
65-74;94;2021-01-06T11:42:50
75-84;332;2021-01-06T11:42:50
>84;1223;2021-01-06T11:42:50
