Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;7824;2.66;10716;3.64;294436;1
Kärnten;20729;3.69;24737;4.41;561293;2
Niederösterreich;48832;2.90;60406;3.59;1684287;3
Oberösterreich;49150;3.30;78640;5.28;1490279;4
Salzburg;18061;3.23;22765;4.08;558410;5
Steiermark;43379;3.48;69959;5.61;1246395;6
Tirol;26136;3.45;33394;4.41;757634;7
Vorarlberg;17801;4.48;19409;4.89;397139;8
Wien;65581;3.43;96207;5.03;1911191;9
Österreich;297493;3.34;416233;4.68;8901064;10
Stand;2021-02-06 18:00;2021-02-06 18:00;2021-02-06 18:00;2021-02-06 18:00;2020-01-01 00:00;
